nama,rating,jumlah_review,tipe,lat,lon,kategori,provinsi,url_gambar_1,url_gambar,url_gambar_2
Gunung Prau,4.8,597,Gunung berapi,-7.1869444,109.9227778,Alam,Jawa Tengah,https://pixabay.com/get/ge9bb9bc80a8d47ad3ef4331d1687949cfd1de8cf09b3932eec37c1242101b5258725bc5ca911fe32a871d358973838b26192e87f198a4c4ae9371254faaa1fd5_1280.jpg,,
Candi Gampingan,4.2,121,Tujuan Wisata,-7.8356977,110.4372348,Edukasi,Daerah Istimewa Yogyakarta,,,
Bali Jungle Trekking Mount Batur,4.4,143,Tujuan Wisata,-8.263854,115.3859667,Alam,Bali,,,
San Antonio Beach Pik 2,4.7,4923,Promenade,-6.093495,106.7395843,Taman Hiburan,Banten,,,
Pusat Oleh-Oleh Khas Magelang Barokah Agung,4.1,565,Toko Suvenir,-7.4224092,110.2321887,Shopping,Jawa Tengah,,,
Tugu Lawet Kebumen,4.7,2237,Bangunan Bersejarah,-7.6709347,109.660871,Edukasi,Jawa Tengah,,,
Kidzilla Buaran Plaza,4,103,Taman Bermain Dalam Ruangan,-6.2176913,106.92424,Taman Hiburan,DKI Jakarta,,,
Wisata Alam Bukit Sebutrong,4.4,51,Tujuan Wisata,-7.7229171,110.1315826,Alam,Daerah Istimewa Yogyakarta,,,
Tugu Api Pancasila Tmii,4.5,276,Bangunan Bersejarah,-6.3020747,106.8898802,Edukasi,DKI Jakarta,,,
Kolam Renang Kodam Iv Diponegoro,4.4,3586,Taman Rekreasi Air,-7.0803125,110.4096875,Taman Hiburan,Jawa Tengah,,,
Tugu Monumen Wingko Babat,4.5,114,Bangunan Bersejarah,-7.1055741,112.1659671,Edukasi,Jawa Timur,https://pixabay.com/get/ga1fb507e99063c6fb3d9360da725b0bac358d18c99356684f3d3103d5fee008e00d5f95f66d11dac258d988f00d3b92505304ac92662c26cf1c2e7db1762127d_1280.jpg,,
Museum Pemerintah Kota Probolinggo,4.5,1561,Museum,-7.7510777,113.2157441,Edukasi,Jawa Timur,https://pixabay.com/get/g133857014a51bcd23d950fadf05256ae90777a9942c8aaeef0555d0f75472e568998f5ca77d49553030e5203b15a485f19b0bddedd577e616609542d7c4d1ac7_1280.jpg,,
Tugu Elang Jawa,4.5,1182,Monumen,-7.7503372,110.4225533,Edukasi,Daerah Istimewa Yogyakarta,,,
Cove At Batavia Pik,4.7,10208,Promenade,-6.0890311,106.7418768,Taman Hiburan,DKI Jakarta,,,
Kolam Renang Puri Beta 1,4.2,4764,Taman Hiburan,-6.2297471,106.7257567,Taman Hiburan,DKI Jakarta,,,
Jepun Bali Oleh-Oleh Bali (Souvenier),4.3,27,Toko Suvenir,-8.7274584,115.1770611,Shopping,Bali,,,
Tugu Muda Bumen Wetan,4.6,29,Bangunan Bersejarah,-7.8230707,110.4211633,Edukasi,Daerah Istimewa Yogyakarta,,,
Laguna Pemancingan Trisik,4,67,Tujuan Wisata,-7.9760815,110.1985588,Alam,Daerah Istimewa Yogyakarta,,,
Monumen Selamat Datang,4.7,8593,Monumen,-6.1949841,106.8230272,Edukasi,DKI Jakarta,,,
Pantai Wonogoro,4.6,425,Pantai Umum,-8.4055308,112.5661405,Alam,Jawa Timur,,,
Tugu Jam Pasar Gede,4.6,196,Bangunan Bersejarah,-7.5693596,110.8312187,Edukasi,Jawa Tengah,,,
Prasasti Sojomerto,4.4,206,Bangunan Bersejarah,-7.0422035,109.9001663,Edukasi,Jawa Tengah,,,
Tugu Cokro Grabag Magelang,4.5,300,Bangunan Bersejarah,-7.4089552,110.2948473,Edukasi,Jawa Tengah,,,
Pantai Karang Taraje,4.6,1095,Tujuan Wisata,-6.9907843,106.3262475,Alam,Banten,https://pixabay.com/get/g238eb0aa4ca398a1fbf7f3bf238e7c566fd37a1d4ba387ee60ffb1062e2e397669cc5a9c62dc1a7b9f214a7012c42a93f073b4daec1511e38cadc132a789a0e3_1280.jpg,https://images.pexels.com/photos/11666424/pexels-photo-11666424.jpeg,https://images.unsplash.com/photo-1599486349027-77fd046baf63?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3NTkzODB8MHwxfHNlYXJjaHw3fHxQYW50YWklMjBLYXJhbmclMjBUYXJhamV8ZW58MHwwfHx8MTc0ODk0ODY0N3ww&ixlib=rb-4.1.0&q=80&w=1080
Mini Taman Safari Beach Batang,4.3,189,Kebun Binatang,-6.8827263,109.7548342,Taman Hiburan,Jawa Tengah,,,
Bonbin Gate#1,3.9,117,Taman,-6.8935475,107.607988,Taman Hiburan,Jawa Barat,,,
Play Ground Lapangan Rampal,3.7,51,Taman bermain,-7.9726579,112.6395317,Taman Hiburan,Jawa Timur,,,
Padang Penggembalaan Cidaon,4.6,106,Tujuan Wisata,-6.7617793,105.2665004,Alam,Banten,,,
Monumen Tugu Pramuka Cianjur,4.4,3709,Monumen,-6.8006167,107.1780323,Edukasi,Jawa Barat,https://pixabay.com/get/g57a74eab41defa1bbde9ec56728e7514e18a6810705c836b4975587a6ee1609ea042de9a913d031bc55daf568a208a2d9c20a40f4ea3bf6cf1fc236107e8d43a_1280.jpg,,
Tugu Semar Temon,4.4,27,Bangunan Bersejarah,-7.4427227,110.713251,Edukasi,Jawa Tengah,,,
