nama,rating,jumlah_review,tipe,lat,lon,kategori,provinsi,url_gambar_1,url_gambar,url_gambar_2
Splash Waterpark,4.5,108,Taman Rekreasi Air,-6.6782381,106.9321572,Taman Hiburan,Jawa Barat,,,
Amsterdam Water Park,4.2,5286,Taman Rekreasi Air,-6.1589968,106.5838731,Taman Hiburan,Banten,,,
Monumen Pers Nasional,4.7,2518,Tujuan Wisata,-7.565059,110.818131,Edukasi,Jawa Tengah,,,
Kolam Renang Tiga Dara,4,1223,Taman Rekreasi Air,-6.3440171,106.8164458,Taman Hiburan,DKI Jakarta,,,
Taman I Love Gk,4.3,389,Taman,-7.8253738,110.7527671,Alam,Daerah Istimewa Yogyakarta,,,
Bukit Mengger Trimulyo,4.5,209,Cagar Alam,-7.8922101,110.395564,Alam,Daerah Istimewa Yogyakarta,,,
Wisata Benteng Pendem,4.3,76,Tujuan Wisata,-7.8461402,110.0418614,Edukasi,Jawa Tengah,,,
Ekowisata Mangrove Medokan Ayu,4.5,236,Taman Ekologi,-7.3298177,112.8207124,Alam,Jawa Timur,,,
Bukit Klangon,4.6,8761,Titik Pemandangan,-7.5768966,110.4548266,Alam,Daerah Istimewa Yogyakarta,,,
Embung Desa Blerong,4.8,17,Taman Rekreasi Air,-6.9809544,110.5513047,Taman Hiburan,Jawa Tengah,,,
Taman Jajan Nusantara,4.5,146,Taman Bermain Dalam Ruangan,-6.1408174,106.9555406,Taman Hiburan,DKI Jakarta,,,
Istana Anak-Anak Indonesia,4.4,1611,Pusat Hiburan Anak-Anak,-6.3020314,106.9002312,Taman Hiburan,DKI Jakarta,,,
Candi Plembutan,4.2,223,Tujuan Wisata,-7.9581899,110.5506476,Edukasi,Daerah Istimewa Yogyakarta,,,
Laguna Glagah,4.7,559,Tujuan Wisata,-7.9147698,110.0753984,Alam,Daerah Istimewa Yogyakarta,https://pixabay.com/get/gb8d7e1cee459d0025613e1d26703b315fecfe6751f5e88d9395a5528ff942d6d5931a6ba13c0f1e5571a537aaf6feaf143401786e55f91d720ea25bc133d2936_1280.jpg,,
Lokawisata Baturraden,4.5,29048,Tujuan Wisata,-7.3133914,109.2290803,Alam,Jawa Tengah,,,
Milkindo Green Farm,4.2,1377,Taman Rekreasi Air,-8.1676223,112.5712657,Taman Hiburan,Jawa Timur,,,
Taman Safari,4.5,32,Taman bermain,-7.7522893,112.6670805,Taman Hiburan,Jawa Timur,,,
Tugu Kuda,4.4,49,Monumen,-7.6931086,112.6451954,Edukasi,Jawa Timur,,,
Play 'N' Learn Summarecon Mall Serpong,5,1875,Taman Bermain Dalam Ruangan,-6.2404622,106.6286602,Taman Hiburan,Banten,https://pixabay.com/get/ge6dee39df63dbb289a2484639545137fd073b7ea671f551db8422940a1972b2bfa73c03bda126587b56a11ffd5c3080ff9623a93bf6a63e9bed4647178e817ce_1280.jpg,,
Hawai Waterpark,4.8,12169,Taman Rekreasi Air,-7.9232799,112.6571,Taman Hiburan,Jawa Timur,https://pixabay.com/get/gd3ace78f78bc7695251eaad2237571e9545e9c0e6fc776c787f247f23c58b1e165fc0800abfba284c20d71b2896b483715184b8e5aab3fb399976d2e1dca2f67_1280.jpg,,
Gunung Maruyung,4.5,21,Puncak Gunung,-7.2872222,108.9044444,Alam,Jawa Tengah,https://pixabay.com/get/gcc482f70c58bd7a88923ebd00a2b188b850bb454c49353616acbd0a114bc4600a72915a61f35d1de90846a916fab855ac03161a2a8583a3e1cda76c1efe63ff5_1280.jpg,,
Museum Karst Indonesia,4.3,1133,Museum,-8.0414635,110.7831914,Edukasi,Jawa Tengah,https://pixabay.com/get/g162a9fb25bc92848996416d92bf201ca490b22685ca36268744945344d59c6f0073fe442a52a9db8d86e47c685859fb8ca318a4b360326fb7e1722038f031696_1280.jpg,,
Wahana Ceria Jogja Hompimpark,4.7,19,Taman bermain,-7.7906239,110.3231835,Taman Hiburan,Daerah Istimewa Yogyakarta,https://pixabay.com/get/g50ce2e00f7ea317ca9700139f0a8b33c7c95cd5b471c3a7c06c8b95ac4d86217304a933cf27d39c7dc34e437f87da8451a79386663cfbd8d023b56eb8c6e4475_1280.jpg,,
Puncak Kosakora,4.6,1554,Tujuan Wisata,-8.1411158,110.584068,Alam,Daerah Istimewa Yogyakarta,,,
Mangrove Bedul Ecotourism,4.3,127,Cagar Alam,-8.5910581,114.26478,Alam,Jawa Timur,,,
Tugu Jombang Beriman,4.4,186,Bangunan Bersejarah,-7.5798987,112.2367241,Edukasi,Jawa Timur,https://pixabay.com/get/g7edd4f15e1d0a4568f2baccde3b9956e2f1ed42852babb6acaa020aa8d317ef6fbb9b053841e2f4d55de4b2c674f64fc12937e66fc24a6c5555d50bac1fb743b_1280.jpg,,
Tugu Penceng Menganto,4.5,110,Bangunan Bersejarah,-7.603332,112.299232,Edukasi,Jawa Timur,https://pixabay.com/get/ga65322060965e7009ac79d7ad76357363c55d7956cfd2fd18bc3be9525dc59217f5fb4cb3c0c275a6d6cc61316b6d811c5f1ccf63f10498090453cfc33cae3d2_1280.jpg,,
Taman Inspirasi Mertasari,4.4,1189,Tujuan Wisata,-8.7120008,115.24822,Alam,Bali,https://pixabay.com/get/g3e46195492b6696f63fe50534b94616e86d8bf81cc7cef9d88356db99bb4bdcd9bf70e762d571df0a4ae266a034e27fc6f8f9709dd9c902b11e19fd233a82ba0_1280.jpg,,
Pantai Kejawanan Kota Cirebon,4.1,5025,Tujuan Wisata,-6.733613,108.585791,Alam,Jawa Barat,,,
Pasar Gintung Pusat Oleh-Oleh Tangerang Selatan,4.4,44,Pusat Perbelanjaan,-6.3000444,106.762273,Shopping,DKI Jakarta,,,
Stone Valley,4.5,175,Tujuan Wisata,-8.151026,110.6264964,Alam,Daerah Istimewa Yogyakarta,https://pixabay.com/get/gfb37a9aff5fe6665670c29d0d25a8f437fa1af64a64b2773e74b120ab24f375ae817372495acb7501c9da7f73691300e2c7a105aaeb47906530c133b6ce8c555_1280.jpg,,
Pantai Indah Ancol,4.5,841,Pantai Umum,-6.121739,106.8343019,Alam,DKI Jakarta,,,
Kano Maritim Baros,4.7,346,Tujuan Wisata,-8.0023372,110.2844709,Alam,Daerah Istimewa Yogyakarta,,,
Candi Sari,4.5,1147,Tujuan Wisata,-7.7615299,110.4742167,Edukasi,Jawa Tengah,,,
Olah Oleh Raminten,5,238,Toko Suvenir,-7.7963089,110.3567999,Shopping,Daerah Istimewa Yogyakarta,,,
Museum Tanah Dan Pertanian,4.7,752,Museum,-6.6037032,106.7978677,Edukasi,Jawa Barat,,,
Candi Cetho,4.7,11221,Tujuan Wisata,-7.5955625,111.1574219,Edukasi,Jawa Tengah,,,
Tugu Candipuro,4.2,187,Monumen,-8.1855304,113.0738586,Edukasi,Jawa Timur,https://pixabay.com/get/g052ca6bd57c18e6e7350360b6747382c0bb8e2021f14165772152ba84ce3462e5c7c4da563548a10298c0a756def7265d0668eaa208d418c738e1f41f95a7f79_1280.jpg,,
Hutan Mangrove Kebumen,4.2,737,Tujuan Wisata,-7.7201555,109.3921254,Alam,Jawa Tengah,,,
Bursa Sajadah Bekasi | Toko Perlengkapan & Oleh-Oleh Haji/Umroh Terlengkap,4.7,697,Pusat Perbelanjaan,-6.2398092,106.9997276,Shopping,Jawa Barat,,,
Jj Water Park,4.3,58,Taman Rekreasi Air,-6.924344,112.144506,Taman Hiburan,Jawa Timur,,,
Tugu Lontar Kebomas,4.4,354,Bangunan Bersejarah,-7.1659834,112.6392207,Edukasi,Jawa Timur,https://pixabay.com/get/gb59dc197e305f1fd3c5eaf511bda03c3fc7cad6ec8a76412d98dc10502fea262e83196904aba99c681d90f6ab3ec951ac00f37cc4e39b02a3f09dd743b2f5606_1280.jpg,,
Hutan Mangrove,4.8,66,Tujuan Wisata,-5.9367252,106.9928921,Alam,Jawa Barat,,,
Wisata Mangrove Pancer,4.2,45,Tujuan Wisata,-6.0253925,106.164856,Alam,Banten,https://pixabay.com/get/g93453cbb0ccd7990ac6818f3ee73014a532f428655a5f87c7512e72070b923c084ce58ad81b465bc99a270173f7b7c65f98c75c776706ed440b352c7db90b3a4_1280.jpg,https://images.pexels.com/photos/3845523/pexels-photo-3845523.jpeg,https://images.unsplash.com/photo-1651807428952-5f0637a7b3c2?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3NTkzODB8MHwxfHNlYXJjaHw3fHxXaXNhdGElMjBNYW5ncm92ZSUyMFBhbmNlcnxlbnwwfDB8fHwxNzQ4OTQ4NjQzfDA&ixlib=rb-4.1.0&q=80&w=1080
Pantai Double - Six,4.7,1807,Tujuan Wisata,-8.6975406,115.1621384,Alam,Bali,,,
Benteng Van Der Wijck,4.3,1000,Tujuan Wisata,-7.5993469,109.517574,Edukasi,Jawa Tengah,,,
Museum Benteng Heritage,4.5,917,Museum Pusaka,-6.1786869,106.6296684,Edukasi,Banten,,,
Sio Waterpark Bekasi,4.3,52,Taman Rekreasi Air,-6.2243728,107.0809631,Taman Hiburan,DKI Jakarta,,,
Aqualand Serang,4.2,2548,Taman Rekreasi Air,-6.1052333,106.1421797,Taman Hiburan,Banten,,,
Candi Bajang Ratu,4.6,2304,Bangunan Bersejarah,-7.567729,112.3987567,Edukasi,Jawa Timur,,,
Gardu Pandang Goa Gajah,4.4,189,Tujuan Wisata,-7.9456084,110.4406992,Alam,Daerah Istimewa Yogyakarta,,,
Monumen Rudal Merapi,4.8,42,Monumen,-7.581936,110.4431856,Edukasi,Daerah Istimewa Yogyakarta,,,
Kawasan Ekowisata Mangrove Pik,4.3,4657,Hutan Nasional,-6.1220799,106.7609549,Alam,DKI Jakarta,,,
Pantai Ungapan,4.5,544,Tujuan Wisata,-8.4378136,112.6423029,Alam,Jawa Timur,,,
Museum Semarajaya,4.6,39,Museum,-8.5355856,115.4025775,Edukasi,Bali,,,
Pantai Caruban,4.5,380,Tujuan Wisata,-6.6778619,111.4297111,Alam,Jawa Tengah,,,
Maharani Zoo & Goa,4.5,2895,Kebun Binatang,-6.8684582,112.3619918,Taman Hiburan,Jawa Tengah,,,
Pantai Tanjung Ciputih,4.2,25,Tujuan Wisata,-6.7009236,105.5426428,Alam,Banten,https://pixabay.com/get/gb40e09f5bb2a5c6a34ee44b2163a831da2db24aabb6c51b4ce392408618be2a4a85b610c5bae82e5eaafd105689dc0e17da4fde4a924db02eab43cbedade727d_1280.jpg,https://images.pexels.com/photos/3546881/pexels-photo-3546881.jpeg,https://images.unsplash.com/photo-1658321746470-885ca48de4a9?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3NTkzODB8MHwxfHNlYXJjaHwxM3x8UGFudGFpJTIwVGFuanVuZyUyMENpcHV0aWh8ZW58MHwwfHx8MTc0ODk0ODY0OXww&ixlib=rb-4.1.0&q=80&w=1080
Trans Studio Bandung,4.6,81472,Taman Hiburan,-6.9255538,107.6362431,Taman Hiburan,Jawa Barat,https://pixabay.com/get/gb26437fe85783b063731a7bc46bbf4eceb9d381ceb4b88afaf736000724b45ae58a0c86ca5b0bfc0d7fd702c47be03d971f55487ae2c904796ed58b23805b95a_1280.jpg,,
Taman Kunci Tangerang,4.4,301,Taman,-6.1954437,106.6317534,Taman Hiburan,Banten,https://pixabay.com/get/g9d5877030a9a9348f7abc136626889e33ced94090743e80738fefa32399a351bdf0f404f1ab2d57d5390ca58261a0fe72024fe86af9c9e00e12055aa574b88bd_1280.jpg,,
Wisata Pantai Apra Sindangbarang,4.2,971,Pantai,-7.4604665,107.1293505,Alam,Jawa Barat,,,
Tugu Lampu Gentur Kota Cianjur,4.6,4678,Monumen,-6.8146759,107.1318158,Edukasi,Jawa Barat,https://pixabay.com/get/g767fe1d2b5e7e34fb4f39b85c6f5971499fcbeba3ac8f13c7042cc256f242cadd3b534e14ad4a628ec22b1de9af670d1de4644bebcf30d2dccf4bd2cb5dc1561_1280.jpg,,
Indofarm Iguana,4.5,10,Kebun Binatang,-7.3838818,112.7331611,Taman Hiburan,Jawa Timur,,,
Aloha Pasir Putih,4.5,9792,Tujuan Wisata,-6.0718317,106.7150573,Alam,DKI Jakarta,,,
Columbus Waterpark,4.3,4643,Taman Rekreasi Air,-6.2862966,107.0307291,Taman Hiburan,DKI Jakarta,,,
Waterpark Galuh Tirtonirmolo Prambanan,4.3,2598,Taman Rekreasi Air,-7.748672,110.501128,Taman Hiburan,Jawa Tengah,,,
Amazon Waterland,3.6,1015,Taman Rekreasi Air,-6.7107246,111.2032639,Taman Hiburan,Jawa Tengah,,,
Makom Keramat Pangeran Sabranglor,4.7,42,Museum Sejarah Lokal,-6.0326064,106.1541905,Edukasi,Banten,,,
Rajawali Water Park,3.9,44,Taman Rekreasi Air,-6.7699584,108.1699095,Taman Hiburan,Jawa Barat,,,
Sirkus Indoor Waterpark,4.4,87,Taman Rekreasi Air,-6.3112531,106.9530451,Taman Hiburan,DKI Jakarta,,,
Dino Park Jawa Timur Park 3,4.6,19016,Taman Hiburan,-7.897906,112.554027,Taman Hiburan,Jawa Timur,,,
Wisata Mangrove Park Pekalongan,4.1,521,Tujuan Wisata,-6.8583337,109.6750352,Alam,Jawa Tengah,,,
Bukit Clongop Gedangsari,4.6,310,Titik Pemandangan,-7.8207094,110.5948419,Alam,Daerah Istimewa Yogyakarta,,,
"Tugu Batas Kabupaten Blora ""Barat Daya"" Blora - Grobogan",4.4,42,Monumen,-7.1975375,111.2466094,Edukasi,Jawa Tengah,,,
Sagara View Of Karangbolong,4.6,1707,Tujuan Wisata,-7.7585507,109.4649863,Alam,Jawa Tengah,,,
Oleh-Oleh Sukowati,4.5,86,Pusat Perbelanjaan,-7.3313869,110.5039168,Shopping,Jawa Tengah,,,
Jembatan Suroboyo,4.6,1091,Tujuan Wisata,-7.238104,112.7971673,Alam,Jawa Timur,,,
Bukit Mende,4.9,89,Tujuan Wisata,-8.1567454,115.3477167,Alam,Bali,,,
Monument Mataram Is Red,4.9,44,Bangunan Bersejarah,-7.6665746,110.6632829,Edukasi,Jawa Tengah,,,
Bali Dolphin Water Sport Adventure,4,5008,Tujuan Wisata,-8.7530772,115.2202874,Alam,Bali,https://pixabay.com/get/gb02da4e1188f14e45de991734c3ec4d03900fe57c0508724af7e0b47c5569a00624caad240e90e7ea7c88c28b4d190a3d887dae604d9bee0d58d4ab98805017f_1280.jpg,,
Taman Cemara Pantai Padang Galak,4,30,Taman,-8.6581936,115.2650209,Alam,Bali,https://pixabay.com/get/g040cd93160f0c6b062fc3c18c80294690c0c871e8312707b457a1aa907badeac7cd9c210d9d677b04cc215f43aaa23a9007d69db5a5bff0c3f4ba4f2afc68686_1280.jpg,,
Taman Payung Pantai Jetis,4.2,139,Tujuan Wisata,-7.8489079,109.8958929,Alam,Jawa Tengah,,,
Pulau Benteng Voc Kelor,4.7,60,Tujuan Wisata,-6.0257114,106.7454986,Edukasi,Banten,,,
Taman Fatahillah,4.6,28142,Tujuan Wisata,-6.134669,106.8132041,Edukasi,DKI Jakarta,,,
Monumen Tumpeng Merapi,4,68,Bangunan Bersejarah,-7.5443405,110.6017739,Edukasi,Jawa Tengah,,,
Tugu Kedawung,4.1,107,Bangunan Bersejarah,-6.9287803,109.9352114,Edukasi,Jawa Tengah,,,
Monumen Bedol Desa,4.3,1451,Tujuan Wisata,-7.8358382,110.9337237,Edukasi,Jawa Tengah,,,
Dream Land Grage Mall,3,18,Arena Bermain Anak-Anak,-6.7143502,108.5549488,Taman Hiburan,Jawa Barat,https://pixabay.com/get/g48a72e2b25756b83563dc68b6cc9ffd2d6911a92082107d12bcecfdae8f0a8ca0f1fce65bd3ac8b122910836292d18d4a087ec20ebdf423a1ed380eaa445a6fa_1280.jpg,,
Cijoho Indah Waterboom,4.4,204,Taman Rekreasi Air,-7.3351791,108.1043001,Taman Hiburan,Jawa Barat,,,
Tugu Kujang Perbatasan Jabar - Jateng,4.5,263,Monumen,-7.0551857,108.7859247,Edukasi,Jawa Barat,,,
Taman Kartini Rembang,4.2,534,Taman Hiburan,-6.7040291,111.3417092,Taman Hiburan,Jawa Tengah,,,
Pantai Kelapa Warna - Panyaungan,4.5,871,Pantai Umum,-6.902486,106.1482488,Alam,Banten,https://cdn.pixabay.com/photo/2018/10/19/09/17/travel-3758193_960_720.jpg,,
Candi Ngempon,4.2,320,Tujuan Wisata,-7.1943652,110.4390918,Edukasi,Jawa Tengah,,,
Tugu Unj,4.8,22,Universitas Negeri,-6.1950308,106.8781667,Edukasi,DKI Jakarta,,,
Taman Wisata Air Wendit,4.1,7790,Taman,-7.9524529,112.6749379,Alam,Jawa Timur,,,
Parang Ratjuk,4.7,43,Tujuan Wisata,-8.1338341,110.5427177,Alam,Daerah Istimewa Yogyakarta,https://pixabay.com/get/gbe2adfa301f4e747ddc7f3a4c2213d8a8b2baf250bd797c60ca49d6833883f0fcbc0c1e2285264a08b2f0bc982dc0c7332c337519ea2736cefec741c84662ab0_1280.jpg,,
Gunung Wilis,4.4,277,Gunung berapi,-7.8139516,111.7600002,Alam,Jawa Timur,,,
Museum Nahdlatul Ulama,4.6,697,Museum,-7.3380605,112.7238743,Edukasi,Jawa Timur,https://pixabay.com/get/g95ecb5c3b1b7cb2b3a757aa1ea40d4de60894b39d663f120d61e88068ac5b5c14fed02a01ae339f5b9eb9987c5a4ee6b9897323e14b5c1c995ed14423440fbce_1280.jpg,,
Ocean Park Bsd City Serpong,4.5,19368,Taman Rekreasi Air,-6.2923897,106.669295,Taman Hiburan,Banten,,,
Pantai Watu Lepek,4.7,277,Tujuan Wisata,-8.4324654,112.6167009,Alam,Jawa Timur,,,
Pusat Oleh-Oleh Tino,4.2,53,Toko Suvenir,-7.8762435,112.5318808,Shopping,Jawa Timur,,,
Bukit Impian Tulungagung Jawa Timur,4.5,44,Tujuan Wisata,-8.0810219,111.8198384,Alam,Jawa Timur,,,
Pantai Kelapa Tujuh,3.5,208,Pantai,-5.8932269,106.0217837,Alam,Banten,https://pixabay.com/get/g0c86df3fa4bd390ce949daa752e724a23b1a6da5e2763ec9dd642c62a8516b763a82723f933b069d18b7dee4a44ebf3a00bb7e755b61ac95f1adc4415d702f39_1280.jpg,https://images.pexels.com/photos/5345067/pexels-photo-5345067.jpeg,https://images.unsplash.com/photo-1657690230097-8a538d642a60?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3NTkzODB8MHwxfHNlYXJjaHwyfHxQYW50YWklMjBLZWxhcGElMjBUdWp1aHxlbnwwfDB8fHwxNzQ4OTQ4NjUwfDA&ixlib=rb-4.1.0&q=80&w=1080
Museum Purna Bhakti Pertiwi,4.5,677,Museum Sejarah,-6.3003461,106.8864414,Edukasi,DKI Jakarta,,,
Gunung Batukaru,4.5,95,Puncak Gunung,-8.3347222,115.0877778,Alam,Bali,https://pixabay.com/get/gaf6aaa707eb5408e46d43570a7dde3624388c86c17cb6be8d9c9a25488f45b9dfd63c8aba244b370a0a3c6bf094ac698e476f1e6fab65185ff29dcc8330f68fa_1280.jpg,,
"Aloha Playground , Pasir Putih Pik 2",4.4,2582,Taman bermain,-6.070975,106.714585,Taman Hiburan,Banten,https://pixabay.com/get/g05eedb51fcb5ae4fb065ff9d37fe3b77ecbb095ac307debcb0355cdd7506e238c1663199b75ac371feaa2bb8210ab4eb63d4d84aa505bd666343044f82d28b74_1280.jpg,,
Benteng Karang Bolong,4.8,26,Bangunan Bersejarah,-7.7604191,109.0432478,Edukasi,Jawa Tengah,,,
West Lagoon,4.2,90,Tujuan Wisata,-7.7599144,110.3305847,Alam,Daerah Istimewa Yogyakarta,,,
Puncak Gunung Agung Bali,4.8,190,Area Rekreasi Alam,-8.3420371,115.5032748,Alam,Bali,https://pixabay.com/get/gcc69fd7809c5743daa069806b567795c2be14d67028f5a289cd43405a09bb3c2d9fabf2c1f7b98a922e2b94e3e087d4d82ea6464c676c5c0e07ec59392f21801_1280.jpg,,
Simpang Lima Gumul,4.7,1973,Bangunan Bersejarah,-7.8159545,112.0624667,Edukasi,Jawa Timur,https://pixabay.com/get/g290d8bb25859a7374da6d0519d75f44cb87f36a2e7e1c6ebc58ad9ad6b20a1d43870893296fdbf118abc0825e0b2a8b7b743bb95b095aba24c761cdafb41f31c_1280.jpg,,
Tugu Gunung Putri Lembang,4.7,106,Monumen,-6.7975522,107.635943,Edukasi,Jawa Barat,https://pixabay.com/get/g37d5b47bcaa003882b78fbe649db786a92d0eccbd179d6ab3cd18ae9828ab8182f6f6c22601cdb69c02bdae73bd9eb9d6b428c753722e800544ade4dc2a07408_1280.jpg,,
Gardu Pandang Mangunan,4.6,2034,Titik Pemandangan,-7.9410486,110.4247276,Alam,Daerah Istimewa Yogyakarta,https://pixabay.com/get/g81719e4f5e4b5984cdfb457f61dddf233235d2f51ce08ed1bd0a9cf3fd78f3081e6962117f3c3dc54a6c7cf0c6e134596b20d09547b12005d3caf6e8616acbc1_1280.jpg,,
Kebun Binatang Tiara Mini Zoo,4.3,86,Kebun Binatang,-6.7341339,110.7148115,Taman Hiburan,Jawa Tengah,,,
Pusat Oleh - Oleh Sukabumi,4.6,43,Pusat Perbelanjaan,-6.8759475,106.7761964,Shopping,Jawa Barat,,,
Pantai Karang Malang,4.8,37,Tujuan Wisata,-7.7609038,108.0526973,Alam,Jawa Barat,,,
Puri Nirwana Waterpark,4.3,2497,Taman Rekreasi Air,-6.245573,107.166419,Taman Hiburan,DKI Jakarta,,,
Tugu Singa Bundaran Kecamatan Jasinga,4.5,1014,Monumen,-6.4814162,106.4666045,Edukasi,Jawa Barat,https://pixabay.com/get/g9a471b0d89dbce47288bce2ec2f26c82be555ffc990b408ef9091d91a164f597ce207b3ebcf23260e5b4fbdb014f60467a5b99e6f72a1efec92df331e501ca74_1280.jpg,,
Taman Megalodon,4.4,170,Taman,-7.3416059,106.5625154,Alam,Jawa Barat,,,
Barchan Dunes Yogyakarta Indonesia | Sosdl,4.3,557,Taman Nasional,-8.0152498,110.3158112,Alam,Daerah Istimewa Yogyakarta,,,
Mangrove Center Tuban,4.3,1438,Tujuan Wisata,-6.8417189,112.0133744,Alam,Jawa Timur,,,
Taman Bermain Gajah Wong,4.6,38,Taman bermain,-7.7999982,110.3984001,Taman Hiburan,Daerah Istimewa Yogyakarta,https://pixabay.com/get/g05e0ced82a96b2e6262e8d6a133b438445b81d85944afb7dd5a7af6d11cc653eba31b1b3931ab56d2f638fe88ce46cd7416493f0336636ad23dc4df9f945d6e2_1280.jpg,,
Pantai Marina,3.9,129,Pantai,-6.1438889,105.8561111,Alam,Banten,https://pixabay.com/get/gebf61e245cd3701632eeafd5ab11ba335d41d5db582fe4dcf2b0302a5a156e9ac4e840a90bdd7ae5cf7db71f0de01c827eda89694184c1591f137a6f518d49e9_1280.jpg,https://images.pexels.com/photos/16156398/pexels-photo-16156398.jpeg,https://images.unsplash.com/photo-1656414010505-e9dfb85d2687?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3NTkzODB8MHwxfHNlYXJjaHwzfHxQYW50YWklMjBNYXJpbmF8ZW58MHwwfHx8MTc0ODk0ODY0OHww&ixlib=rb-4.1.0&q=80&w=1080
Aviary Park Indonesia,4.8,1032,Taman,-6.2767614,106.7404957,Taman Hiburan,Banten,https://pixabay.com/get/gbd4a8034b475b9c4a92da21deef84e36114dd6eb05de00fc35b364b8026b4b1310818e756d83d99d63377afe5b151370d24ead8e192eef4204a39d6d465cbc93_1280.jpg,,
Pantai Sodong,4.1,5496,Tujuan Wisata,-7.6913293,109.1754562,Alam,Jawa Tengah,,,
Camp Waduk Karang Kates,4.6,217,Bumi perkemahan,-8.171045,112.4528728,Alam,Jawa Timur,,,
Museum Tni Ad Dharma Wiratama,4.7,852,Museum Angkatan Bersenjata,-7.782924,110.375582,Edukasi,Daerah Istimewa Yogyakarta,,,
Kiddy Playland,4,77,Taman bermain,-7.561043,110.7886886,Taman Hiburan,Jawa Tengah,https://pixabay.com/get/gb64639ff5e52ebc03ab04b239768b72bcce4e5bea14b20399c583053382f140a1c2f118d3d75dbe3df84496e4923530d4f530e546dcb04f8c09cc6e440cfddc2_1280.jpg,,
Tugu Uks,4.5,831,Monumen,-7.48925,112.4399567,Edukasi,Jawa Timur,https://pixabay.com/get/gc0414d5f6e278cb78ef09e104df2980ecb692044d53ba9ea72ce10bd89d8093aa54a04954245b5eb33785f9107d1d57f96238d5267c1c789516cf81a9896e8c8_1280.jpg,,
Go! Splash Waterpark,4,874,Taman Rekreasi Air,-6.14936,107.038903,Taman Hiburan,Jawa Barat,,,
Watu Tetes Bukit Paralayang,4.4,58,Tujuan Wisata,-7.8084209,110.7077879,Alam,Daerah Istimewa Yogyakarta,,,
The Sukarno Center,4.6,443,Museum,-8.4515321,115.3074251,Edukasi,Bali,,,
Taman Hiburan Anak Anak,4,17,Taman bermain,-8.1116066,112.4444618,Taman Hiburan,Jawa Timur,,,
Funworld,4.8,62,Taman bermain,-6.3278383,106.391158,Taman Hiburan,Banten,,,
Kawasan Ekowisata Gunung Api Purba Nglanggeran,4.6,939,Tujuan Wisata,-7.84276,110.5379729,Alam,Daerah Istimewa Yogyakarta,,,
Taman Wisata Waduk Gondang,4.1,13,Taman Rekreasi Air,-7.2022881,112.2641845,Taman Hiburan,Jawa Timur,,,
Pantai Cidaun,4.3,88,Pantai,-7.4868483,107.2363908,Alam,Jawa Barat,,,
Patung Tenun Lurik,4.7,305,Bangunan Bersejarah,-7.7146781,110.590112,Edukasi,Jawa Tengah,,,
Sekartama Waterland,3.9,606,Taman Hiburan,-6.9702778,110.0730556,Taman Hiburan,Jawa Tengah,,,
Goa Karang Pamulang,4.7,40,Taman,-6.9808326,106.5365371,Alam,Jawa Barat,,,
Gunung Gamping,4.6,94,Puncak Gunung,-7.6691667,111.0916667,Alam,Jawa Tengah,https://pixabay.com/get/gfd220dc420ff56c92bcfab6b2b0f2b82b7103b08234ef7cb6e0ade326d98e58ce609289752b47fe12cc90ce412a4d8eada2406b01d0f6e9ae5cbf0208115b585_1280.jpg,,
Kidjoy Haurgeulis,4.4,301,Taman bermain,-6.451067,107.9418487,Taman Hiburan,Jawa Barat,,,
Kidslandia Mall Of Indonesia,3.5,81,Taman Bermain Dalam Ruangan,-6.1503692,106.8918493,Taman Hiburan,DKI Jakarta,,,
Kawasan Mangrove Gunung Anyar Surabaya,4.3,43,Taman Ekologi,-7.3457625,112.807118,Alam,Jawa Timur,,,
Pantai Jatisari ,4.3,1279,Tujuan Wisata,-6.6327727,111.5145024,Alam,Jawa Tengah,,,
Monumen Ahmad Yani,4.5,30,Monumen,-7.4658936,110.219023,Edukasi,Jawa Tengah,,,
Water Park Bandung Indah,4,1996,Taman Rekreasi Air,-6.9805807,107.5856567,Taman Hiburan,Jawa Barat,https://pixabay.com/get/ga1c90f8ebb552ef149ffb6dd5dbbf14c0d21c7315550aaaf9c299d070dab67a42c9c76e232ff1a3de9f9bd39098b819fa8984c26e58302962b966c49e722bbd6_1280.jpg,,
Kawasan Hutan Tahura Ngurah Rai,4.3,28,Hutan Nasional,-8.770606,115.2176682,Alam,Bali,https://pixabay.com/get/g03be45edcfab786547d8269f6e0ea2127228c8f57ecdab3e7d6be9bc9e3eb9444c2249996bbb08f547d15105baa133b56975911e7c27a64915423891928f2ab5_1280.jpg,,
Taman Lalulintas,4.1,23,Taman,-6.9694377,110.2864625,Taman Hiburan,Jawa Tengah,,,
Monumen Keganasan Pki 1948 (Monumen Kresek),4.4,3537,Monumen,-7.7050773,111.6309834,Edukasi,Jawa Tengah,,,
Blok M Square,4.4,42815,Pusat Perbelanjaan,-6.244593,106.800649,Shopping,DKI Jakarta,,,
Rainbow Adventure Park Jepara,3.9,309,Tujuan Wisata,-6.6303976,110.6471374,Alam,Jawa Tengah,,,
Taman Hutan Raya (Tahura) Banten,4.3,293,Tujuan Wisata,-6.2921387,105.841278,Alam,Banten,,,
